owl,year,month,day,neuron,order,itdild_file_name,abl_file_name,freq_file_name,itd_file_name,ild_file_name,frozenitd_file_name,frozenild_file_name
841,2006,1,24,6,4.0,841-2006-01-24-06-4-itdiid.mat,841-2006-01-24-06-2-abiabi.mat,841-2006-01-24-06-5-bf.mat,,,,
841,2006,2,2,3,3.0,841-2006-02-02-03-3-itdiid.mat,841-2006-02-02-03-2-abiabi.mat,841-2006-02-02-03-4-bf.mat,,,,
841,2006,3,15,1,0.0,841-2006-03-15-01-0-itdiid.mat,,,,,,
841,2006,3,15,3,1.0,841-2006-03-15-03-1-itdiid.mat,841-2006-03-15-03-0-abiabi.mat,,,,,
841,2006,3,15,4,4.0,841-2006-03-15-04-4-itdiid.mat,841-2006-03-15-04-3-abiabi.mat,841-2006-03-15-04-7-bf.mat,,,,
841,2006,3,31,4,3.0,841-2006-03-31-04-3-itdiid.mat,841-2006-03-31-04-2-abiabi.mat,841-2006-03-31-04-4-bf.mat,,,,
841,2006,4,6,1,3.0,841-2006-04-06-01-3-itdiid.mat,841-2006-04-06-01-2-abiabi.mat,841-2006-04-06-01-4-bf.mat,,,,
841,2006,4,6,2,3.0,841-2006-04-06-02-3-itdiid.mat,841-2006-04-06-02-2-abiabi.mat,841-2006-04-06-02-4-bf.mat,,,,
841,2006,4,6,3,0.0,841-2006-04-06-03-0-itdiid.mat,,841-2006-04-06-03-1-bf.mat,,,,
841,2006,4,6,4,0.0,841-2006-04-06-04-0-itdiid.mat,,841-2006-04-06-04-1-bf.mat,,,,
841,2006,5,9,1,3.0,841-2006-05-09-01-3-itdiid.mat,841-2006-05-09-01-2-abiabi.mat,841-2006-05-09-01-4-bf.mat,,,,
842,2005,9,16,2,5.0,842-2005-09-16-02-5-itdiid.mat,,,,,,
842,2005,9,29,1,6.0,842-2005-09-29-01-6-itdiid.mat,842-2005-09-29-01-3-abiabi.mat,842-2005-09-29-01-9-bf.mat,,,,
842,2005,10,9,1,3.0,842-2005-10-09-01-3-itdiid.mat,842-2005-10-09-01-2-abiabi.mat,,,,,
842,2005,10,9,3,4.0,842-2005-10-09-03-4-itdiid.mat,842-2005-10-09-03-2-abiabi.mat,,,,,
842,2005,10,19,2,3.0,842-2005-10-19-02-3-itdiid.mat,842-2005-10-19-02-2-abiabi.mat,,,,,
842,2005,10,19,6,3.0,842-2005-10-19-06-3-itdiid.mat,842-2005-10-19-06-2-abiabi.mat,842-2005-10-19-06-6-bf.mat,,,,
842,2005,11,2,2,3.0,842-2005-11-02-02-3-itdiid.mat,842-2005-11-02-02-2-abiabi.mat,842-2005-11-02-02-4-bf.mat,,,,
